,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,1.54,3,-3.2,4.6,False
1,2.26,2,-3.3,4.6,False
2,1.66,11,-3.5,4.0,False
3,-0.07,1,-3.5,4.3,False
4,1.57,4,-3.2,4.4,False
5,3.48,3,-3.3,4.4,True
6,2.85,4,-3.2,4.5,True
7,2.96,4,-3.3,4.5,True
8,4.23,6,-3.05,4.5,True
