,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean Significance,Median Significance,Mean VTA Significance,Median VTA Significance,Task Category
45,EPI,6578,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6578/ses-ofMr1/sub-6578_ses-ofMr1_task-CogBr_acq-EPI_run-1_cbv_pfstat.nii.gz,1.179826021194458,0.7131561040878296,1.5500459671020508,1.0102977752685547,Block
46,EPI,6578,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6578/ses-ofMr1/sub-6578_ses-ofMr1_task-CogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1198855638504028,0.6874719858169556,0.9128806591033936,0.6077040433883667,Phasic
47,EPI,6582,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6582/ses-ofMr1/sub-6582_ses-ofMr1_task-CogBr_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1307435035705566,0.6986429691314697,1.827391266822815,1.2448995113372803,Block
48,EPI,6586,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6586/ses-ofM/sub-6586_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_pfstat.nii.gz,1.2406264543533325,0.7098929286003113,6.994473934173584,4.8703155517578125,Block
49,EPI,6586,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6586/ses-ofM/sub-6586_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1113544702529907,0.6859168410301208,0.4061557948589325,0.20566950738430023,Phasic
50,EPI,6587,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6587/ses-ofM/sub-6587_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_pfstat.nii.gz,1.2279332876205444,0.7089515924453735,4.980012893676758,4.370662689208984,Block
51,EPI,6587,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6587/ses-ofM/sub-6587_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.0952098369598389,0.6729916930198669,0.9782221913337708,0.5999825596809387,Phasic
52,EPI,6587,ofMr1,CogMwf,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6587/ses-ofMr1/sub-6587_ses-ofMr1_task-CogMwf_acq-EPI_run-0_cbv_pfstat.nii.gz,1.180086374282837,0.7145453691482544,7.953094482421875,5.574838638305664,Block
53,EPI,6588,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_pfstat.nii.gz,1.1344735622406006,0.6982511878013611,2.190851926803589,2.220097064971924,Block
54,EPI,6588,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.0917798280715942,0.6807596683502197,0.9666344523429871,0.5679284930229187,Phasic
55,EPI,6588,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogBr_acq-EPI_run-1_cbv_pfstat.nii.gz,1.158691167831421,0.7151355743408203,2.8756988048553467,1.9612096548080444,Block
56,EPI,6588,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofMr1/sub-6588_ses-ofMr1_task-CogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.1311746835708618,0.691007137298584,1.0183258056640625,0.7714203596115112,Phasic
57,EPI,6589,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_pfstat.nii.gz,1.118764877319336,0.6832485198974609,2.4036035537719727,2.0270092487335205,Block
58,EPI,6589,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6589/ses-ofM/sub-6589_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_pfstat.nii.gz,1.0894602537155151,0.6785687208175659,0.8113949298858643,0.5672502517700195,Phasic
