,Acquisition,Subject,Session,Task,Run,Contrast,Path,Mean VTA t,Median VTA t,Scan,Task Category,Frequencies,Frequency,Durations,Duration,Pulse Width,Pulse Widths
16,EPI,6260,ofMr2,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-CogB_acq-EPI_run-1_cbv_tstat.nii.gz,0.8052735328674316,0.45683589577674866,6260:ofMr2:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
17,EPI,6260,ofMr2,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6260/ses-ofMr2/sub-6260_ses-ofMr2_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.7140635251998901,-0.313332736492157,6260:ofMr2:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
18,EPI,6467,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-CogB_acq-EPI_run-1_cbv_tstat.nii.gz,-0.07484951615333557,0.06376170367002487,6467:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
19,EPI,6467,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6467/ses-ofM/sub-6467_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.5064476132392883,-1.033008337020874,6467:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
20,EPI,6468,ofM,CogB,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-CogB_acq-EPI_run-1_cbv_tstat.nii.gz,0.2490423321723938,0.7352533936500549,6468:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
21,EPI,6468,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6468/ses-ofM/sub-6468_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.29394227266311646,0.06529136002063751,6468:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
22,EPI,6471,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6471/ses-ofM/sub-6471_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,0.721279501914978,0.8368368148803711,6471:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
23,EPI,6471,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6471/ses-ofMr1/sub-6471_ses-ofMr1_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,-0.1014685407280922,-0.22406652569770813,6471:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
24,EPI,6560,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6560/ses-ofM/sub-6560_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,0.6534047722816467,0.5988621711730957,6560:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
25,EPI,6560,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6560/ses-ofMr1/sub-6560_ses-ofMr1_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,1.1293402910232544,1.5198168754577637,6560:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
26,EPI,6562,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6562/ses-ofM/sub-6562_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,1.0588526725769043,0.5075308084487915,6562:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
27,EPI,6562,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6562/ses-ofMr1/sub-6562_ses-ofMr1_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,0.25280770659446716,0.17098748683929443,6562:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
28,EPI,6573,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6573/ses-ofM/sub-6573_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,3.8604109287261963,4.246549606323242,6573:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
29,EPI,6573,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6573/ses-ofM/sub-6573_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,0.7843834161758423,1.0684795379638672,6573:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
30,EPI,6573,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6573/ses-ofMr1/sub-6573_ses-ofMr1_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,1.6612768173217773,1.795663595199585,6573:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
31,EPI,6573,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6573/ses-ofMr1/sub-6573_ses-ofMr1_task-CogP_acq-EPI_run-0_cbv_tstat.nii.gz,0.10857925564050674,0.008444741368293762,6573:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
32,EPI,6574,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6574/ses-ofM/sub-6574_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,3.283792734146118,2.933490753173828,6574:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
33,EPI,6574,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6574/ses-ofM/sub-6574_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,0.259646475315094,-0.027535879984498024,6574:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
34,EPI,6574,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6574/ses-ofMr1/sub-6574_ses-ofMr1_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,-0.643368124961853,-0.774058997631073,6574:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
35,EPI,6574,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6574/ses-ofMr1/sub-6574_ses-ofMr1_task-CogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.9258928298950195,-1.1444898843765259,6574:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
36,EPI,6575,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6575/ses-ofM/sub-6575_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,4.295643329620361,4.166942596435547,6575:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
37,EPI,6575,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6575/ses-ofMr1/sub-6575_ses-ofMr1_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,1.21852707862854,0.9482123851776123,6575:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
38,EPI,6575,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6575/ses-ofMr1/sub-6575_ses-ofMr1_task-CogP_acq-EPI_run-0_cbv_tstat.nii.gz,0.09778787940740585,-0.13363131880760193,6575:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
39,EPI,6576,ofM,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6576/ses-ofM/sub-6576_ses-ofM_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,1.950823426246643,1.4840130805969238,6576:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
40,EPI,6576,ofM,JPogP,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6576/ses-ofM/sub-6576_ses-ofM_task-JPogP_acq-EPI_run-1_cbv_tstat.nii.gz,0.8552978038787842,0.3241250514984131,6576:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
41,EPI,6576,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6576/ses-ofMr1/sub-6576_ses-ofMr1_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,1.0618284940719604,1.3576412200927734,6576:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
42,EPI,6576,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6576/ses-ofMr1/sub-6576_ses-ofMr1_task-CogP_acq-EPI_run-0_cbv_tstat.nii.gz,1.003916621208191,1.162974238395691,6576:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
43,EPI,6578,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6578/ses-ofM/sub-6578_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,1.6534019708633423,1.4963313341140747,6578:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
44,EPI,6578,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6578/ses-ofM/sub-6578_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.1575596034526825,-0.23122267425060272,6578:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
45,EPI,6578,ofMr1,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6578/ses-ofMr1/sub-6578_ses-ofMr1_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,1.5963587760925293,1.5323123931884766,6578:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
46,EPI,6578,ofMr1,CogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6578/ses-ofMr1/sub-6578_ses-ofMr1_task-CogP_acq-EPI_run-0_cbv_tstat.nii.gz,0.327047735452652,0.8704100847244263,6578:ofMr1:CBV,Phasic,25.0,25.0,0.8,0.8,0.005,0.005
47,EPI,6582,ofMr1,CogBr,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6582/ses-ofMr1/sub-6582_ses-ofMr1_task-CogBr_acq-EPI_run-0_cbv_tstat.nii.gz,0.9462628960609436,0.8108977675437927,6582:ofMr1:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
48,EPI,6586,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6586/ses-ofM/sub-6586_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,4.9245452880859375,4.365828514099121,6586:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
49,EPI,6586,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6586/ses-ofM/sub-6586_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,-0.09282222390174866,-0.023370999842882156,6586:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
50,EPI,6587,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6587/ses-ofM/sub-6587_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,4.046537399291992,4.105020523071289,6587:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
51,EPI,6587,ofM,JPogP,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6587/ses-ofM/sub-6587_ses-ofM_task-JPogP_acq-EPI_run-0_cbv_tstat.nii.gz,0.7948257327079773,0.7476110458374023,6587:ofM:CBV,Phasic,20.0,20.0,1.0,1.0,0.005,0.005
52,EPI,6587,ofMr1,CogMwf,0,CBV,/home/chymera/.scratch/opfvta/l1/sub-6587/ses-ofMr1/sub-6587_ses-ofMr1_task-CogMwf_acq-EPI_run-0_cbv_tstat.nii.gz,5.152580261230469,4.710285663604736,6587:ofMr1:CBV,Block,"15.0,25.0",20.0,20.0,20.0,0.0075,"0.005,0.01"
53,EPI,6588,ofM,CogBr,1,CBV,/home/chymera/.scratch/opfvta/l1/sub-6588/ses-ofM/sub-6588_ses-ofM_task-CogBr_acq-EPI_run-1_cbv_tstat.nii.gz,2.4362287521362305,2.7487599849700928,6588:ofM:CBV,Block,20.0,20.0,20.0,20.0,0.005,0.005
