,VTA t,Count,PA rel. Bregma [mm],Depth rel. skull [mm],Best Cluster
0,0.22,3,-3.2,4.6,True
1,-0.06,2,-3.3,4.6,True
2,-0.59,3,-3.5,4.0,False
3,-0.51,1,-3.5,4.3,False
4,0.51,4,-3.2,4.4,True
5,0.27,3,-3.3,4.4,True
6,0.1,1,-3.2,4.5,True
7,0.04,3,-3.3,4.5,True
8,-0.27,6,-3.05,4.5,False
